행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
서울특별시 금천구,11,12,10,9,15,19,21,22,183,41,68,1610,8880
서울특별시 영등포구,12,13,11,9,19,20,22,22,300,146,79,3377,13891
서울특별시 동작구,12,15,11,10,19,23,23,24,351,114,68,3113,16257
서울특별시 관악구,12,13,11,9,16,21,23,22,361,82,64,3252,15246
서울특별시 서초구,11,16,12,11,18,25,26,26,853,266,43,2655,23064
서울특별시 강남구,11,15,12,10,19,25,25,23,1779,500,22,3641,25484
서울특별시 송파구,11,14,12,9,20,22,24,22,1028,87,50,5348,32208
서울특별시 강동구,13,14,11,9,19,22,23,20,630,42,44,3746,19622
울산광역시 중구,14,16,11,10,16,23,25,24,410,43,50,2938,12405
울산광역시 남구,14,15,11,10,20,23,25,24,943,102,33,4250,16416
울산광역시 동구,15,16,11,9,19,23,24,24,265,11,59,2312,10508
울산광역시 북구,16,15,11,10,19,22,24,24,356,21,73,4678,15535
울산광역시 울주군,12,15,11,12,15,21,24,28,377,12,61,3088,13648
인천광역시 강화군,9,14,11,6,10,21,23,19,124,12,96,460,8201
인천광역시 옹진군,11,14,8,3,9,20,18,11,39,4,111,117,3770
인천광역시 중구,13,16,12,8,18,23,25,21,327,55,82,2195,18165
인천광역시 동구,12,16,13,8,16,24,27,21,663,25,53,966,23208
인천광역시 미추홀구,12,16,13,10,18,24,26,23,685,76,69,4036,30078
인천광역시 연수구,13,15,12,11,19,22,24,26,558,91,77,5424,25048
인천광역시 남동구,14,15,11,11,18,22,23,25,350,25,81,9055,15339
인천광역시 부평구,12,17,14,9,17,23,28,22,787,29,71,5565,33997
인천광역시 계양구,12,8,8,10,17,14,19,24,48,2,197,2975,2431
인천광역시 서구,15,7,5,11,18,11,11,26,4,0,2325,8580,616
전라남도 목포시,10,16,11,10,15,24,26,23,441,44,48,3503,15912
전라남도 여수시,8,13,10,10,13,20,24,25,486,37,49,3079,14847
전라남도 순천시,9,15,11,10,15,23,26,24,485,57,56,3676,16890
전라남도 나주시,7,12,7,8,15,19,18,20,147,14,56,1554,6027
전라남도 광양시,9,14,11,10,12,21,25,25,241,15,65,1371,9439
전라남도 담양군,5,7,6,9,12,12,18,21,12,1,205,321,1466
전라남도 곡성군,4,7,7,8,8,12,21,21,23,2,75,134,920
전라남도 구례군,5,6,6,9,9,11,17,22,21,0,82,151,956
전라남도 고흥군,4,7,5,8,8,12,15,22,44,2,82,264,1927
전라남도 보성군,4,6,5,7,7,10,15,18,26,1,80,180,1326
전라남도 화순군,6,10,7,11,11,16,19,26,80,3,63,429,2877
전라남도 장흥군,6,7,6,8,11,12,17,20,25,1,109,312,1454
전라남도 강진군,3,7,5,7,6,11,15,22,28,0,90,114,1341
전라남도 해남군,6,8,7,7,11,14,20,22,58,6,79,485,2793
전라남도 영암군,6,9,6,8,11,15,17,20,44,1,97,439,2499
전라남도 무안군,7,12,10,8,12,19,24,22,162,10,44,717,4745
전라남도 함평군,3,6,5,8,6,11,15,21,14,2,143,93,1002
전라남도 영광군,6,10,7,8,11,15,18,23,64,3,55,374,2296
전라남도 장성군,6,8,7,8,11,14,20,23,37,1,82,489,1907
전라남도 완도군,7,8,6,6,13,13,16,18,31,2,124,565,2127
전라남도 진도군,7,7,3,3,12,11,11,13,24,0,58,253,1196
전라남도 신안군,4,4,3,5,8,7,9,15,8,0,210,179,1005
전북특별자치도 전주시,12,15,12,12,14,24,27,28,3501,364,22,9293,39670
전북특별자치도 군산시,10,13,12,13,15,21,26,28,3501,364,8,3676,15877
전북특별자치도 익산시,8,12,11,11,11,19,24,25,3501,364,8,3708,15461
전북특별자치도 정읍시,7,9,8,8,12,15,20,22,3501,364,3,1089,5195
전북특별자치도 남원시,4,9,8,9,9,15,20,21,3501,364,2,435,3870
전북특별자치도 김제시,6,7,8,7,11,12,20,17,3501,364,1,811,3644
전북특별자치도 완주군,7,9,9,9,13,16,20,19,3501,364,2,1370,4981
전북특별자치도 진안군,4,5,3,5,8,9,10,15,3501,364,0,159,877
전북특별자치도 무주군,5,8,6,6,11,13,15,16,3501,364,0,190,1018
전북특별자치도 장수군,4,7,4,5,10,13,13,13,3501,364,0,158,989
전북특별자치도 임실군,4,5,3,7,9,9,11,22,3501,364,0,177,1004
전북특별자치도 순창군,6,5,6,7,9,9,16,19,3501,364,0,202,1102
전북특별자치도 고창군,6,6,7,8,10,12,17,17,3501,364,1,336,2123
전북특별자치도 부안군,5,6,6,7,10,11,15,17,3501,364,1,421,1920
제주특별자치도 제주시,15,15,12,12,22,23,26,29,807,46,60,5002,31399
제주특별자치도 서귀포시,14,8,10,9,17,13,24,24,166,7,79,1179,6669
충청남도 천안시,12,16,13,12,18,24,28,29,1136,81,61,10542,42059
충청남도 공주시,9,9,8,10,14,16,21,24,121,11,65,1173,4460
충청남도 보령시,8,9,9,10,15,15,22,23,120,8,65,1003,4621
충청남도 아산시,11,16,12,12,17,23,26,28,382,21,93,5472,22801
충청남도 서산시,12,14,10,11,15,21,25,26,212,21,77,1974,10488
충청남도 논산시,7,10,8,9,11,16,20,21,111,16,69,624,5709
충청남도 계룡시,10,15,13,11,17,23,27,26,49,5,114,735,3161
충청남도 당진시,9,14,10,10,17,21,24,25,189,15,73,1527,10613
충청남도 금산군,7,8,7,8,11,14,19,21,32,3,125,320,2260
충청남도 부여군,7,6,7,9,12,11,18,22,46,4,93,545,2345
충청남도 서천군,5,7,7,8,9,12,21,21,49,5,59,210,1787
충청남도 청양군,7,6,5,7,11,10,14,18,18,2,111,239,959
충청남도 홍성군,9,12,10,9,14,19,24,23,115,11,82,1382,5734
충청남도 예산군,8,8,8,9,11,13,21,20,68,9,71,584,3007
충청남도 태안군,6,7,8,8,10,12,20,20,98,3,44,341,2420
충청북도  청주시,11,15,12,12,17,23,26,27,2031,199,40,9232,50790
충청북도  충주시,11,12,10,9,16,19,24,23,2031,199,7,2253,10534
충청북도  제천시,10,11,9,11,15,19,21,25,2031,199,5,1695,6432
충청북도  보은군,6,5,6,6,9,9,17,24,2031,199,0,238,1143
충청북도  옥천군,9,9,7,10,14,15,18,25,2031,199,1,505,2170
충청북도  영동군,8,7,7,8,10,13,17,21,2031,199,1,306,1711
